,Features,Chi2 Stats,P_Scores
86,"Furan, 2-pentyl-",0.004060950684431984,0.9492
73,Octadecane,0.0040399759161739565,0.9493
240,1428_unknown,0.0038345628505270955,0.9506
259,7-epi-a-Eudesmol,0.0036555320370001915,0.9518
278,251_unknown,0.0036421391746540945,0.9519
165,Cyclohexanemethanol,0.003579731273505831,0.9523
195,"Cyclopropane, 1-methyl-1-(1-methylethyl)-2-nonyl-",0.0033287268911506747,0.954
181,"Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-",0.0030717336394025943,0.9558
279,"Cyclohexanone, 2,2,6-trimethyl-",0.0029603435639595685,0.9566
269,1228_unknown,0.0029547141521993284,0.9567
220,Octane,0.002910171103162465,0.957
116,2-Piperidinone,0.0028955722781242297,0.9571
92,2-Tetradecanone,0.0024143805182897035,0.9608
256,"Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-",0.001975803963718962,0.9645
210,1-Tetradecene,0.001835140932811185,0.9658
222,2-Decanone,0.001416207825722827,0.97
89,"2-Undecene, 9-methyl-, (E)-",0.0012153093931020697,0.9722
211,Heptanal,0.0008060498958787929,0.9774
239,"Dichloroacetic acid, nonyl ester",0.000669078384496099,0.9794
118,"1-Propanol, 2-methyl-",0.0005141234424843384,0.9819
260,"14-Octadecenoic acid, methyl ester",0.00043249834722270395,0.9834
112,"2-Octenal, (E)-",0.0003079450460814866,0.986
194,"Benzaldehyde, 4-hydroxy-",0.00012106370967572791,0.9912
117,"2,4-Imidazolidinedione, 1-methyl-",8.745256844699416e-05,0.9925
249,"Acetic acid, hexyl ester",6.134381004816323e-05,0.9938
173,"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",3.8934286684480846e-05,0.995
127,1-Tetradecanol,2.5699086316077975e-05,0.996
